col_name,avg_shap_value
Odoribacter_splanchnicus,0.041451320638820593
motu_linkage_group_646,0.0280228808353808
motu_linkage_group_517,0.02653578009828006
Bacteroides_fragilis,0.025164158476658434
motu_linkage_group_310,0.02327810196560193
Actinomyces_odontolyticus,0.02269333538083534
Pseudomonas_stutzeri,0.022277334152334113
motu_linkage_group_244,0.0222613636363636
Bacteroides_uniformis,0.021849662162162126
Roseburia_inulinivorans,0.02119348894348891
motu_linkage_group_316,0.020631142506142466
Prevotella_copri,0.020624385749385712
motu_linkage_group_686,0.02047205159705156
motu_linkage_group_334,0.020151566339066306
Streptococcus_pneumoniae,0.019504760442260405
motu_linkage_group_277,0.01915893734643731
motu_linkage_group_486,0.019039926289926255
motu_linkage_group_127,0.01899754299754296
motu_linkage_group_507,0.018795761670761635
motu_linkage_group_450,0.01813283169533166
motu_linkage_group_559,0.01598126535626532
Coprococcus_comes,0.015941646191646154
Bilophila_wadsworthia,0.015861332923832887
Escherichia_coli,0.015810964373464336
motu_linkage_group_284,0.015667076167076133
motu_linkage_group_574,0.015564496314496279
Collinsella_aerofaciens,0.015553746928746894
Faecalibacterium_prausnitzii,0.015191185503685471
motu_linkage_group_158,0.015071253071253038
motu_linkage_group_613,0.014984336609336577
motu_linkage_group_588,0.014906019656019622
motu_linkage_group_241,0.0148074324324324
motu_linkage_group_273,0.014804975429975397
_Clostridium__bartlettii,0.01464081695331692
motu_linkage_group_320,0.014565264127764092
Victivallis_vadensis,0.014507063882063848
motu_linkage_group_348,0.014356418918918885
motu_linkage_group_349,0.014242475429975395
Bifidobacterium_bifidum,0.014158783783783753
motu_linkage_group_520,0.013338605651105619
Holdemania_filiformis,0.013137131449631415
motu_linkage_group_104,0.013128992628992598
motu_linkage_group_333,0.013053746928746897
butyrate_producing_bacterium,0.012992321867321839
Haemophilus_influenzae,0.012778101965601934
Streptococcus_thermophilus,0.012759981572481538
Bacteroides_xylanisolvens,0.012697635135135102
Roseburia_intestinalis,0.01217705773955771
motu_linkage_group_289,0.011909090909090881
Gemella_sanguinis,0.01186455773955771
motu_linkage_group_268,0.011842905405405375
Turicibacter_sanguinis,0.011834766584766555
motu_linkage_group_431,0.011719901719901688
motu_linkage_group_346,0.011451627764127736
Sutterella_wadsworthensis,0.011414465601965572
Roseburia_hominis,0.011364711302211271
motu_linkage_group_290,0.011287622850122822
Streptococcus_parasanguinis,0.011249692874692845
motu_linkage_group_452,0.011143427518427488
Bifidobacterium_adolescentis,0.011110872235872205
motu_linkage_group_633,0.011048218673218646
motu_linkage_group_437,0.010991554054054026
motu_linkage_group_206,0.010930589680589652
Megasphaera_elsdenii,0.01089281326781324
motu_linkage_group_536,0.010873003685503656
motu_linkage_group_87,0.010872542997542969
motu_linkage_group_562,0.010824324324324295
motu_linkage_group_282,0.010778716216216186
Ruminococcus_sp__5_1_39BFAA,0.010703931203931172
Eubacterium_hallii,0.010596130221130191
motu_linkage_group_134,0.010554207616707586
motu_linkage_group_508,0.010552825552825522
motu_linkage_group_238,0.010463912776412747
motu_linkage_group_394,0.010413544226044196
Bacteroides_stercoris,0.01033906633906631
Ruminococcus_sp__SR1_5,0.010195792383292353
motu_linkage_group_366,0.010109183046683014
motu_linkage_group_414,0.010093980343980314
motu_linkage_group_327,0.010039772727272698
motu_linkage_group_302,0.010039004914004888
Eubacterium_eligens,0.009962070024569997
Bacteroides_dorei_vulgatus,0.009956234643734614
motu_linkage_group_190,0.009795761670761642
motu_linkage_group_306,0.009717291154791126
motu_linkage_group_490,0.009697635135135111
motu_linkage_group_324,0.00947942260442258
motu_linkage_group_415,0.009407248157248128
