,Importance
Bacteroides_caccae,0.0009214953707615864
motu_linkage_group_316,-0.001244963228643093
motu_linkage_group_87,-0.002461811578895923
Streptococcus_sp__C150,0.002602316832752543
motu_linkage_group_771,0.0078023083033810815
motu_linkage_group_450,0.0037861178068162482
Lachnospiraceae_bacterium_1_4_56FAA,0.0028479701704500955
motu_linkage_group_566,-0.0071746359203212675
motu_linkage_group_290,-0.0133736120894199
motu_linkage_group_320,-0.005744968128108667
Clostridium_scindens,-0.006772849221249234
motu_linkage_group_254,0.003939772082590196
Dialister_invisus,0.01113465209874412
Clostridium_spiroforme,-0.006789236058877416
motu_linkage_group_460,0.00028951484786216263
motu_linkage_group_357,-0.0015984742445217576
Lachnospiraceae_bacterium_3_1_57FAA_CT1,3.699633631000246e-05
motu_linkage_group_491,-0.004108691449103083
Haemophilus_influenzae,-0.00034674869287133335
butyrate_producing_bacterium_SS3_4,0.0032958155571605
motu_linkage_group_386,-0.00937791406649816
motu_linkage_group_411,-0.003976097190793955
motu_linkage_group_550,-0.01204728013136746
Streptococcus_sanguinis,0.003339663578077943
motu_linkage_group_177,-0.010846522371397533
Haemophilus_pittmaniae,0.000682204274970205
Lactococcus_lactis,0.001876747646924824
motu_linkage_group_389,0.0014223865471771368
Eubacterium_biforme,-0.0005708722859010256
Eubacterium_rectale,0.004663981263171858
motu_linkage_group_703,0.0030935153158257755
Roseburia_hominis,0.0030149158698515315
motu_linkage_group_497,0.0019364987636351473
motu_linkage_group_243,0.001470557645022414
motu_linkage_group_104,-0.003329720675404652
Eggerthella_lenta,-0.00013390356548673268
motu_linkage_group_562,-0.006527944060774261
Bacteroides_coprocola,-0.0006046794230205149
motu_linkage_group_536,0.0029872921544609626
motu_linkage_group_334,-0.0009053981909490902
Veillonella_dispar,0.0007119071837921217
Klebsiella_variicola_pneumoniae,0.006874884770338329
motu_linkage_group_611,0.000389914680950078
Escherichia_albertii,0.010270823061136271
Enterococcus_faecalis,-0.005199462478951203
motu_linkage_group_463,-0.008208181118744334
motu_linkage_group_439,0.000441751175354026
motu_linkage_group_415,-0.0003779337185981608
motu_linkage_group_195,-0.0015712856401627025
motu_linkage_group_246,-0.00030186310240561375
motu_linkage_group_575,0.0035004012400789066
motu_linkage_group_404,0.002635901557923373
butyrate_producing_bacterium,-0.006871455727160425
Veillonella_atypica,-0.0011320896628903355
motu_linkage_group_548,-0.0011685763210035262
motu_linkage_group_85,-0.0047895002003187186
motu_linkage_group_470,-0.0010405929086380603
Gemella_sanguinis,-0.001469884780960085
Streptococcus_infantis,0.0029512684603617855
motu_linkage_group_644,-0.004771897999873309
Clostridium_leptum,-0.0007224793214299347
_Ruminococcus__gnavus,-0.0005065045945992494
motu_linkage_group_652,0.0007858951212615813
Mitsuokella_multacida,0.0018216363366070644
motu_linkage_group_310,0.01225737581187219
Clostridium_sp__L2_50,-0.0006063596094603328
motu_linkage_group_646,0.0038561378890609997
motu_linkage_group_678,0.0034542459990611076
Odoribacter_splanchnicus,0.008974555905450272
motu_linkage_group_302,-0.0006298556644706092
motu_linkage_group_258,0.0012602114742287366
motu_linkage_group_701,-0.0042247175386496165
motu_linkage_group_168,0.006324267232630828
motu_linkage_group_324,-0.0011628091600083708
Akkermansia_muciniphila,0.0005553880987330859
motu_linkage_group_504,-0.005294862545065423
motu_linkage_group_574,-0.004208194718490174
Blautia_hydrogenotrophica,-0.00031228551361021505
motu_linkage_group_210,0.0037562742945182765
Methanobrevibacter_smithii,0.002327391328780949
Bacteroides_plebeius,0.005768185158553671
motu_linkage_group_212,-0.004593032739241978
Bacteroides_ovatus,0.0009770817784715876
motu_linkage_group_241,-0.010201058261469392
motu_linkage_group_297,-0.0051918536954660855
motu_linkage_group_135,0.002276936671751758
