,Importance
Bacteroides_caccae,1.6070297678656794e-09
motu_linkage_group_316,-2.577552929774179e-09
motu_linkage_group_87,-9.381327668919363e-10
Streptococcus_sp__C150,1.700992648198514e-10
motu_linkage_group_771,2.978071444373067e-09
motu_linkage_group_450,2.5310587301973747e-11
Lachnospiraceae_bacterium_1_4_56FAA,-3.862630959321747e-12
motu_linkage_group_566,-4.65871914017965e-10
motu_linkage_group_290,-2.2813036991399042e-10
motu_linkage_group_320,-1.2985561947408563e-09
Clostridium_scindens,2.3648363797912196e-11
motu_linkage_group_254,-1.0816526681899578e-09
Dialister_invisus,6.386085528935e-10
Clostridium_spiroforme,3.383384580306201e-11
motu_linkage_group_460,-1.1734155996466461e-09
motu_linkage_group_357,-2.2931380807366117e-09
Lachnospiraceae_bacterium_3_1_57FAA_CT1,9.018414760807882e-10
motu_linkage_group_491,8.437541188931745e-10
Haemophilus_influenzae,-1.0421552878768247e-11
butyrate_producing_bacterium_SS3_4,-4.634739081455849e-10
motu_linkage_group_386,7.749860123763603e-11
motu_linkage_group_411,-8.051379569352333e-10
motu_linkage_group_550,2.3107962059597763e-09
Streptococcus_sanguinis,2.1157501991241634e-11
motu_linkage_group_177,-5.235200354332854e-09
Haemophilus_pittmaniae,2.454811432730778e-11
Lactococcus_lactis,5.1818437089233774e-11
motu_linkage_group_389,-6.135056264813633e-10
Eubacterium_biforme,7.279369695746936e-10
Eubacterium_rectale,-1.8045661636603726e-09
motu_linkage_group_703,8.963563843967162e-11
Roseburia_hominis,1.4689063377378435e-09
motu_linkage_group_497,-1.5737133694762043e-10
motu_linkage_group_243,-1.4129752064280128e-09
motu_linkage_group_104,-6.02961068553337e-10
Eggerthella_lenta,4.784527652208142e-10
motu_linkage_group_562,-2.58559387157042e-10
Bacteroides_coprocola,-5.362296806488517e-11
motu_linkage_group_536,-5.998182449739917e-10
motu_linkage_group_334,-9.484875908352031e-10
Veillonella_dispar,-2.8460243023767846e-10
Klebsiella_variicola_pneumoniae,4.442977766106651e-10
motu_linkage_group_611,6.576629257203321e-10
Escherichia_albertii,1.787069900460925e-11
Enterococcus_faecalis,8.099557232921194e-10
motu_linkage_group_463,-2.5728274947105888e-11
motu_linkage_group_439,1.4060296047525322e-10
motu_linkage_group_415,1.5770859425476386e-09
motu_linkage_group_195,2.8271165517601507e-10
motu_linkage_group_246,1.499813292608805e-09
motu_linkage_group_575,-6.943311407695206e-11
motu_linkage_group_404,-2.543686216711278e-09
