,Importance
Bacteroides_caccae,7.95847513311133e-05
motu_linkage_group_316,-0.0027146535128637827
motu_linkage_group_87,-0.0008601606541880927
Streptococcus_sp__C150,8.665439249289276e-05
motu_linkage_group_771,0.0035247048862818943
motu_linkage_group_450,-0.00046563378430867786
Lachnospiraceae_bacterium_1_4_56FAA,0.00035501303924447995
motu_linkage_group_566,-0.00024772128568521535
motu_linkage_group_290,-0.0007690046684226923
motu_linkage_group_320,0.0009262070506391941
Clostridium_scindens,-0.0010307388125965202
motu_linkage_group_254,-0.00038075900537753294
Dialister_invisus,-0.00029912810463740406
Clostridium_spiroforme,-0.0004180673446697752
motu_linkage_group_460,-0.0006475671945738222
motu_linkage_group_357,-7.598608005405539e-05
Lachnospiraceae_bacterium_3_1_57FAA_CT1,0.000658646240447516
motu_linkage_group_491,0.002956673610022008
Haemophilus_influenzae,0.0027043676644467897
butyrate_producing_bacterium_SS3_4,-0.0001279637528348308
motu_linkage_group_386,-0.0003691090025376699
motu_linkage_group_411,-0.0005041347677805428
motu_linkage_group_550,0.0005622386511270828
Streptococcus_sanguinis,-0.00011064511951410735
motu_linkage_group_177,0.00035284535572306305
Haemophilus_pittmaniae,-0.0004391024913906402
Lactococcus_lactis,-0.0002306350707781708
motu_linkage_group_389,0.0005487393005811174
Eubacterium_biforme,-0.0006817377425458203
Eubacterium_rectale,0.0006506094807027852
motu_linkage_group_703,0.0006300269809245221
Roseburia_hominis,-0.002164523418516442
motu_linkage_group_497,-0.001775557070032349
motu_linkage_group_243,-0.0012933877778569661
motu_linkage_group_104,-0.0010942677331468682
Eggerthella_lenta,-0.0008153586879690776
motu_linkage_group_562,-0.0004190971440429575
Bacteroides_coprocola,0.0011593637133516781
motu_linkage_group_536,-0.00016946102829211462
motu_linkage_group_334,-0.0010809816549237439
Veillonella_dispar,0.0027289673480252728
Klebsiella_variicola_pneumoniae,0.0028449390604297258
motu_linkage_group_611,0.0010622756074455653
Escherichia_albertii,-0.0012464078479038838
Enterococcus_faecalis,0.0002053545033121478
motu_linkage_group_463,0.002457822166020026
motu_linkage_group_439,-6.142821131740165e-07
motu_linkage_group_415,0.002782154058723852
motu_linkage_group_195,-0.0003375477397381215
motu_linkage_group_246,-0.0009793147781077631
motu_linkage_group_575,0.0002883928122927905
motu_linkage_group_404,0.0009243341602214868
butyrate_producing_bacterium,-0.0017721040798495144
Veillonella_atypica,-0.0011872186043091688
motu_linkage_group_548,0.000502542365350122
motu_linkage_group_85,-0.0006056815889987669
motu_linkage_group_470,-0.001899305253903961
Gemella_sanguinis,-0.0009229702859502542
Streptococcus_infantis,-0.0004113208059981466
motu_linkage_group_644,-0.001517661223214466
Clostridium_leptum,-0.000977435384739745
_Ruminococcus__gnavus,-9.337882356914386e-05
motu_linkage_group_652,-0.00017667226421345204
Mitsuokella_multacida,-0.00011700128384932054
motu_linkage_group_310,-0.00030618181724186705
Clostridium_sp__L2_50,-0.0023985347547396617
motu_linkage_group_646,0.000622969658033737
motu_linkage_group_678,-0.0009112366118412486
Odoribacter_splanchnicus,-0.0012100657495364444
motu_linkage_group_302,0.006193556749178778
motu_linkage_group_258,-0.0008967655339340633
motu_linkage_group_701,-0.0007386363737337292
motu_linkage_group_168,-4.20354900746567e-05
motu_linkage_group_324,0.001067119059907822
Akkermansia_muciniphila,0.00012824515009893426
motu_linkage_group_504,9.51953735662899e-05
motu_linkage_group_574,-0.00229371821991942
Blautia_hydrogenotrophica,0.0007969174323998935
motu_linkage_group_210,0.0008173699996347357
Methanobrevibacter_smithii,0.002355781687680524
Bacteroides_plebeius,-0.0010735262399409135
motu_linkage_group_212,0.0005624940011447288
Bacteroides_ovatus,-0.0009734169401573636
motu_linkage_group_241,-0.002716761032281663
motu_linkage_group_297,-0.0012164552109439541
motu_linkage_group_135,-0.0002662623347635716
motu_linkage_group_588,0.0015820679741607982
_Clostridium__bartlettii,-0.0011056569314222336
motu_linkage_group_498,8.607845737499017e-05
Subdoligranulum_variabile,-0.0005366564955355254
motu_linkage_group_228,-0.0011658469225838272
Dorea_formicigenerans,0.00022849190762967323
Streptococcus_mutans,0.00175201604703292
motu_linkage_group_289,0.00040272593207832705
Roseburia_inulinivorans,-0.001485886238365274
motu_linkage_group_224,-0.0009310887250549592
motu_linkage_group_63,5.4031949024516995e-06
motu_linkage_group_234,-0.0007212988524314416
Victivallis_vadensis,0.0010537275092671059
motu_linkage_group_457,0.0007389440564252971
Collinsella_aerofaciens,-6.293854182477369e-05
Coprobacillus_sp__29_1,0.0023352354875640115
motu_linkage_group_233,-0.002109952551109812
motu_linkage_group_672,-0.00145795386166495
motu_linkage_group_205,0.0015094684918150634
Phascolarctobacterium_succinatutens,-0.0009167841953702738
motu_linkage_group_586,-0.0014094683784488427
unclassified_Lachnospiraceae,1.2476804404550914e-05
motu_linkage_group_471,0.0037506391169428183
motu_linkage_group_225,-0.0021208953548626976
motu_linkage_group_301,-0.0010855826363393095
motu_linkage_group_252,-0.0007237114997913991
Streptococcus_thermophilus,0.0014042624565838904
Eubacterium_ventriosum,-0.0017542952345652326
Enterobacteriaceae_bacterium_9_2_54FAA,0.0025630227361151453
Bacteroides_thetaiotaomicron,-0.0018200335370846662
motu_linkage_group_349,0.0008651030109469452
Bilophila_wadsworthia,0.000377734730738059
Clostridiales_bacterium_1_7_47FAA,6.331657067021448e-05
motu_linkage_group_317,-0.0004554232990466103
motu_linkage_group_691,-0.00042708714555191865
Haemophilus_haemolyticus,0.0038628619136523963
Prevotella_copri,-0.004019038856182935
Streptococcus_salivarius,0.00020888893389178935
motu_linkage_group_837,0.0018100937712013424
motu_linkage_group_434,-0.0009897801671954669
Bacteroides_eggerthii,-0.0010838616442480685
motu_linkage_group_327,-0.0007356692593592497
motu_linkage_group_621,-0.00043575779803918334
motu_linkage_group_38,-0.0007179617406974822
motu_linkage_group_559,2.2974709149817635e-05
motu_linkage_group_270,0.000633982538408171
motu_linkage_group_120,-8.002234659700321e-05
motu_linkage_group_507,0.0023016588263373057
Veillonella_parvula,0.0005051795125833236
motu_linkage_group_230,-0.0015939935360365567
motu_linkage_group_486,0.0011766213899249986
motu_linkage_group_333,-0.0018361930968478898
